"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"2/10/2026","2/10/2026","2/11/2026","","ACH Deposit","ACH","","","$150.00"
"2/9/2026","2/9/2026","2/10/2026","SLV","iShares Silver Trust
CUSIP: 46428Q109
Recurring","Buy","0.663567","$75.35","($50.00)"
"2/9/2026","2/9/2026","2/10/2026","KTOS","Kratos Defense & Security Solutions
CUSIP: 50077B207
Recurring","Buy","0.504936","$99.02","($50.00)"
"2/9/2026","2/9/2026","2/10/2026","ASTS","AST SpaceMobile
CUSIP: 00217D100
Recurring","Buy","0.494119","$101.19","($50.00)"
"2/9/2026","2/9/2026","2/10/2026","SNDK","Sandisk Corporation
CUSIP: 80004C200
Recurring","Buy","0.16794","$595.45","($100.00)"
"2/9/2026","2/9/2026","2/10/2026","QQQ","Invesco QQQ
CUSIP: 46090E103
Recurring","Buy","0.081271","$615.22","($50.00)"
"2/9/2026","2/9/2026","2/10/2026","MU","Micron Technology
CUSIP: 595112103
Recurring","Buy","0.129414","$386.35","($50.00)"
"2/9/2026","2/9/2026","2/10/2026","IREN","IREN Limited
CUSIP: Q4982L109
Recurring","Buy","1.106495","$45.19","($50.00)"
"2/9/2026","2/9/2026","2/10/2026","","ACH Deposit","ACH","","","$200.00"
"2/6/2026","2/6/2026","2/6/2026","SLV","Stock Lending","SLIP","","","$0.01"
"2/6/2026","2/6/2026","2/6/2026","COPX","Stock Lending","SLIP","","","$0.01"
"2/3/2026","2/3/2026","2/4/2026","IAU","iShares Gold Trust
CUSIP: 464285204
Recurring","Buy","0.541917","$92.26","($50.00)"
"2/3/2026","2/3/2026","2/4/2026","META","Meta Platforms
CUSIP: 30303M102","Buy","0.067326","$707.00","($47.60)"
"2/3/2026","2/3/2026","2/4/2026","ASML","ASML Holding NV
CUSIP: N07059210","Buy","0.032954","$1,436.84","($47.35)"
"2/3/2026","2/3/2026","2/4/2026","IAU","iShares Gold Trust
CUSIP: 464285204","Buy","0.517496","$92.74","($47.99)"
"2/3/2026","2/3/2026","2/4/2026","WDC","Western Digital
CUSIP: 958102105","Buy","0.119892","$280.00","($33.57)"
"2/3/2026","2/3/2026","2/4/2026","AVGO","Broadcom
CUSIP: 11135F101","Buy","0.122994","$336.60","($41.40)"
"2/2/2026","2/2/2026","2/3/2026","","ACH Deposit","ACH","","","$500.00"
"1/28/2026","1/28/2026","1/29/2026","IAU","iShares Gold Trust
CUSIP: 464285204","Buy","0.891592","$99.24","($88.48)"
"1/28/2026","1/28/2026","1/29/2026","MU","Micron Technology
CUSIP: 595112103","Buy","0.234274","$426.85","($100.00)"
"1/28/2026","1/28/2026","1/29/2026","SNDK","Sandisk Corporation
CUSIP: 80004C200","Buy","0.194182","$514.98","($100.00)"
"1/28/2026","1/28/2026","1/29/2026","SNDK","Sandisk Corporation
CUSIP: 80004C200","Buy","0.199824","$500.44","($100.00)"
"1/28/2026","1/28/2026","1/29/2026","ASML","ASML Holding NV
CUSIP: N07059210","Buy","0.069264","$1,482.01","($102.65)"
"1/28/2026","1/28/2026","1/29/2026","ORCL","Oracle
CUSIP: 68389X105","Sell","1.648477","$175.00","$288.48"
"1/28/2026","1/28/2026","1/29/2026","STX","Seagate Technology
CUSIP: G7997R103","Buy","0.506085","$395.19","($200.00)"
"1/28/2026","1/28/2026","1/29/2026","WDC","Western Digital
CUSIP: 958102105","Buy","1","$266.43","($266.43)"
"1/28/2026","1/28/2026","1/29/2026","NOK","Nokia
CUSIP: 654902204","Sell","100","$6.69","$669.08"
"1/27/2026","1/27/2026","1/28/2026","IAU","iShares Gold Trust
CUSIP: 464285204","Buy","23.220875","$95.32","($2,213.53)"
"1/27/2026","1/27/2026","1/28/2026","SLV","iShares Silver Trust
CUSIP: 46428Q109","Buy","0.42502","$96.56","($41.04)"
"1/27/2026","1/27/2026","1/28/2026","SLV","iShares Silver Trust
CUSIP: 46428Q109","Buy","41","$96.56","($3,958.96)"
"1/27/2026","1/27/2026","1/28/2026","COPX","Global X Copper Miners ETF
CUSIP: 37954Y830","Buy","22.565722","$88.63","($2,000.00)"
"1/27/2026","1/27/2026","1/28/2026","UNH","UnitedHealth
CUSIP: 91324P102","Sell","0.988748","$283.34","$280.15"
"1/27/2026","1/27/2026","1/28/2026","UNH","UnitedHealth
CUSIP: 91324P102","Sell","28","$283.34","$7,933.38"
"1/26/2026","1/26/2026","1/27/2026","ORCL","Oracle
CUSIP: 68389X105
Dividend Reinvestment","Buy","0.003816","$183.43","($0.70)"
"1/23/2026","1/23/2026","1/23/2026","ORCL","Cash Div: R/D 2026-01-09 P/D 2026-01-23 - 1.400661 shares at 0.5","CDIV","","","$0.70"
"1/12/2026","1/12/2026","1/13/2026","WMT","Walmart
CUSIP: 931142103
Recurring","Buy","0.421585","$118.60","($50.00)"
"1/12/2026","1/12/2026","1/13/2026","BLK","Blackrock, Inc.
CUSIP: 09290D101
Recurring","Buy","0.046153","$1,083.35","($50.00)"
"1/12/2026","1/12/2026","1/13/2026","ORCL","Oracle
CUSIP: 68389X105
Recurring","Buy","0.244","$204.92","($50.00)"
"1/12/2026","1/12/2026","1/13/2026","NFLX","Netflix
CUSIP: 64110L106
Recurring","Buy","0.558815","$89.48","($50.00)"
"1/12/2026","1/12/2026","1/13/2026","GOOGL","Alphabet Class A
CUSIP: 02079K305
Recurring","Buy","0.151253","$330.57","($50.00)"
"1/12/2026","1/12/2026","1/13/2026","MSFT","Microsoft
CUSIP: 594918104
Recurring","Buy","0.104578","$478.11","($50.00)"
